Sort ,State,FIPS,County,County Seat(s),Population,Land Area,Land Area,Water Area,Water Area,Total Area,Total Area,Latitude,Longitude
1,AL,01001,Autauga,Prattville,54571,594.436,594.436,9.952,9.952,604.388,604.388,32.536382,86.644490
2,AL,01003,Baldwin,Bay Minette,182265,1589.784,1589.784,437.527,437.527,2027.311,2027.311,30.659218,87.746067
3,AL,01005,Barbour,Clayton,27457,884.876,884.876,19.639,19.639,904.515,904.515,31.870670,85.405456
4,AL,01007,Bibb,Centreville,22915,622.582,622.582,3.587,3.587,626.169,626.169,33.015893,87.127148
5,AL,01009,Blount,Oneonta,57322,644.776,644.776,5.852,5.852,650.628,650.628,33.977448,86.567246
6,AL,01011,Bullock,Union Springs,10914,622.805,622.805,2.338,2.338,625.143,625.143,32.101759,85.717261
7,AL,01013,Butler,Greenville,20947,776.829,776.829,1.053,1.053,777.882,777.882,31.751667,86.681969
8,AL,01015,Calhoun,Anniston,118572,605.868,605.868,6.419,6.419,612.287,612.287,33.771706,85.822513
9,AL,01017,Chambers,Lafayette,34215,596.531,596.531,6.582,6.582,603.113,603.113,32.917943,85.391812
10,AL,01019,Cherokee,Centre,25989,553.700,553.700,46.278,46.278,599.978,599.978,34.069515,85.654242
11,AL,01021,Chilton,Clanton,43643,692.854,692.854,7.948,7.948,700.802,700.802,32.854060,86.726628
12,AL,01023,Choctaw,Butler,13859,913.500,913.500,7.359,7.359,920.859,920.859,31.991008,88.248887
13,AL,01025,Clarke,Grove Hill,25833,1238.465,1238.465,14.109,14.109,1252.574,1252.574,31.685521,87.818624
14,AL,01027,Clay,Ashland,13932,603.961,603.961,2.040,2.040,606.001,606.001,33.267809,85.862051
15,AL,01029,Cleburne,Heflin,14972,560.100,560.100,0.913,0.913,561.013,561.013,33.671981,85.516109
16,AL,01031,Coffee,Elba,49948,678.972,678.972,1.523,1.523,680.495,680.495,31.402183,85.989201
17,AL,01033,Colbert,Tuscumbia,54428,592.619,592.619,29.510,29.510,622.129,622.129,34.703112,87.801457
18,AL,01035,Conecuh,Evergreen,13228,850.156,850.156,2.566,2.566,852.722,852.722,31.428293,86.992029
19,AL,01037,Coosa,Rockford,11539,650.926,650.926,15.423,15.423,666.349,666.349,32.931445,86.243482
20,AL,01039,Covington,Andalusia,37765,1030.456,1030.456,13.331,13.331,1043.787,1043.787,31.243987,86.448721
21,AL,01041,Crenshaw,Luverne,13906,608.840,608.840,2.076,2.076,610.916,610.916,31.732826,86.319222
22,AL,01043,Cullman,Cullman,80406,734.841,734.841,20.180,20.180,755.021,755.021,34.131923,86.869267
23,AL,01045,Dale,Ozark,50251,561.150,561.150,1.551,1.551,562.701,562.701,31.430654,85.609476
24,AL,01047,Dallas,Selma,43820,978.695,978.695,15.110,15.110,993.805,993.805,32.333540,87.114356
25,AL,01049,DeKalb,Fort Payne,71109,777.093,777.093,1.592,1.592,778.685,778.685,34.460929,85.803992
26,AL,01051,Elmore,Wetumpka,79303,618.485,618.485,38.557,38.557,657.042,657.042,32.597229,86.142739
27,AL,01053,Escambia,Brewton,38319,945.080,945.080,8.059,8.059,953.139,953.139,31.121748,87.168429
28,AL,01055,Etowah,Gadsden,104430,534.991,534.991,13.638,13.638,548.629,548.629,34.047638,86.034420
29,AL,01057,Fayette,Fayette,17241,627.660,627.660,1.696,1.696,629.356,629.356,33.732249,87.752049
30,AL,01059,Franklin,Russellville,31704,633.821,633.821,12.702,12.702,646.523,646.523,34.441988,87.842815
31,AL,01061,Geneva,Geneva,26790,574.408,574.408,4.543,4.543,578.951,578.951,31.090866,85.824346
32,AL,01063,Greene,Eutaw,9045,647.110,647.110,12.831,12.831,659.941,659.941,32.844497,87.964201
33,AL,01065,Hale,Greensboro,15760,643.943,643.943,12.558,12.558,656.501,656.501,32.752796,87.623061
34,AL,01067,Henry,Abbeville,17302,561.750,561.750,6.559,6.559,568.309,568.309,31.516978,85.239971
35,AL,01069,Houston,Dothan,101547,579.824,579.824,1.830,1.830,581.654,581.654,31.158193,85.296398
36,AL,01071,Jackson,Scottsboro,53227,1077.868,1077.868,48.903,48.903,1126.771,1126.771,34.763522,85.977400
37,AL,01073,Jefferson,Birmingham,658466,1111.276,1111.276,12.538,12.538,1123.814,1123.814,33.553444,86.896536
38,AL,01075,Lamar,Vernon,14564,604.846,604.846,0.618,0.618,605.464,605.464,33.787085,88.087431
